Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,390;1,030;0,947;4,507;213,91;103,03;299,21
1,395;1,030;0,947;4,531;214,68;103,03;299,21
1,400;1,025;0,942;4,521;214,37;102,54;298,90
1,405;1,030;0,947;4,512;214,07;103,03;299,21
1,410;1,025;0,947;4,517;214,22;102,54;299,21
1,415;1,030;0,942;4,512;214,07;103,03;298,90
1,420;1,025;0,947;4,517;214,22;102,54;299,21
1,425;1,030;0,942;4,512;214,07;103,03;298,90
1,430;1,030;0,947;4,517;214,22;103,03;299,21
1,435;1,025;0,942;4,517;214,22;102,54;298,90
1,440;1,030;0,942;4,512;214,07;103,03;298,90
1,445;1,025;0,942;4,517;214,22;102,54;298,90
1,450;1,030;0,947;4,512;214,07;103,03;299,21
1,455;1,030;0,947;4,517;214,22;103,03;299,21
1,460;1,030;0,947;4,517;214,22;103,03;299,21
1,465;1,030;0,947;4,512;214,07;103,03;299,21
1,470;1,025;0,942;4,517;214,22;102,54;298,90
1,475;1,030;0,942;4,517;214,22;103,03;298,90
1,480;1,030;0,947;4,512;214,07;103,03;299,21
1,485;1,030;0,947;4,512;214,07;103,03;299,21
1,490;1,030;0,947;4,517;214,22;103,03;299,21
1,495;1,030;0,942;4,517;214,22;103,03;298,90
1,500;1,030;0,947;4,502;213,76;103,03;299,21
1,505;1,030;0,942;4,512;214,07;103,03;298,90
1,510;1,030;0,947;4,512;214,07;103,03;299,21
1,515;1,030;0,947;4,517;214,22;103,03;299,21
1,520;1,030;0,942;4,517;214,22;103,03;298,90
1,525;1,030;0,947;4,517;214,22;103,03;299,21
1,530;1,030;0,942;4,517;214,22;103,03;298,90
1,535;1,030;0,947;4,512;214,07;103,03;299,21
1,540;1,025;0,937;4,517;214,22;102,54;298,58
1,545;1,030;0,942;4,512;214,07;103,03;298,90
1,550;1,030;0,942;4,517;214,22;103,03;298,90
1,555;1,030;0,942;4,512;214,07;103,03;298,90
1,560;1,030;0,947;4,517;214,22;103,03;299,21
1,565;1,030;0,947;4,512;214,07;103,03;299,21
1,570;1,030;0,942;4,517;214,22;103,03;298,90
1,575;1,030;0,947;4,512;214,07;103,03;299,21
1,580;1,025;0,942;4,512;214,07;102,54;298,90
1,585;1,030;0,947;4,517;214,22;103,03;299,21
1,590;1,030;0,942;4,517;214,22;103,03;298,90
1,595;1,030;0,942;4,517;214,22;103,03;298,90
1,600;1,030;0,942;4,517;214,22;103,03;298,90
1,605;1,030;0,947;4,512;214,07;103,03;299,21
1,610;1,025;0,947;4,512;214,07;102,54;299,21
1,615;1,030;0,947;4,512;214,07;103,03;299,21
1,620;1,030;0,947;4,512;214,07;103,03;299,21
1,625;1,030;0,942;4,517;214,22;103,03;298,90
1,630;1,030;0,947;4,517;214,22;103,03;299,21
1,635;1,030;0,947;4,512;214,07;103,03;299,21
1,640;1,030;0,947;4,512;214,07;103,03;299,21
1,645;1,025;0,947;4,517;214,22;102,54;299,21
1,650;1,030;0,947;4,512;214,07;103,03;299,21
1,655;1,025;0,942;4,517;214,22;102,54;298,90
1,660;1,030;0,947;4,517;214,22;103,03;299,21
1,665;1,030;0,947;4,512;214,07;103,03;299,21
1,670;1,030;0,942;4,512;214,07;103,03;298,90
1,675;1,035;0,947;4,512;214,07;103,52;299,21
1,680;1,025;0,947;4,517;214,22;102,54;299,21
1,685;1,030;0,942;4,512;214,07;103,03;298,90
1,690;1,025;0,947;4,517;214,22;102,54;299,21
1,695;1,030;0,947;4,517;214,22;103,03;299,21
1,700;1,030;0,947;4,517;214,22;103,03;299,21
1,705;1,030;0,942;4,517;214,22;103,03;298,90
1,710;1,030;0,947;4,517;214,22;103,03;299,21
1,715;1,025;0,947;4,517;214,22;102,54;299,21
1,720;1,030;0,942;4,512;214,07;103,03;298,90
1,725;1,030;0,947;4,512;214,07;103,03;299,21
1,730;1,030;0,942;4,517;214,22;103,03;298,90
1,735;1,030;0,947;4,517;214,22;103,03;299,21
1,740;1,030;0,947;4,517;214,22;103,03;299,21
1,745;1,030;0,947;4,512;214,07;103,03;299,21
1,750;1,025;0,942;4,517;214,22;102,54;298,90
1,755;1,030;0,947;4,512;214,07;103,03;299,21
1,760;1,025;0,947;4,517;214,22;102,54;299,21
1,765;1,030;0,947;4,512;214,07;103,03;299,21
1,770;1,030;0,947;4,512;214,07;103,03;299,21
1,775;1,030;0,942;4,512;214,07;103,03;298,90
1,780;1,030;0,942;4,517;214,22;103,03;298,90
1,785;1,025;0,942;4,517;214,22;102,54;298,90
1,790;1,035;0,942;4,512;214,07;103,52;298,90
1,795;1,025;0,947;4,517;214,22;102,54;299,21
1,800;1,030;0,942;4,512;214,07;103,03;298,90
1,805;1,030;0,947;4,512;214,07;103,03;299,21
1,810;1,030;0,947;4,512;214,07;103,03;299,21
1,815;1,030;0,947;4,517;214,22;103,03;299,21
1,820;1,025;0,947;4,512;214,07;102,54;299,21
1,825;1,030;0,942;4,517;214,22;103,03;298,90
1,830;1,025;0,937;4,512;214,07;102,54;298,58
1,835;1,030;0,942;4,512;214,07;103,03;298,90
1,840;1,030;0,947;4,512;214,07;103,03;299,21
1,845;1,030;0,947;4,517;214,22;103,03;299,21
1,850;1,030;0,942;4,517;214,22;103,03;298,90
1,855;1,030;0,947;4,517;214,22;103,03;299,21
1,860;1,030;0,947;4,507;213,91;103,03;299,21
1,865;1,025;0,942;4,517;214,22;102,54;298,90
1,870;1,030;0,942;4,502;213,76;103,03;298,90
1,875;1,025;0,942;4,517;214,22;102,54;298,90
1,880;1,030;0,942;4,521;214,37;103,03;298,90
1,885;1,025;0,947;4,517;214,22;102,54;299,21
1,890;1,030;0,942;4,517;214,22;103,03;298,90
1,895;1,030;0,947;4,517;214,22;103,03;299,21
1,900;1,025;0,947;4,517;214,22;102,54;299,21
1,905;1,030;0,942;4,512;214,07;103,03;298,90
1,910;1,021;0,947;4,517;214,22;102,05;299,21
1,915;1,030;0,947;4,517;214,22;103,03;299,21
1,920;1,030;0,947;4,512;214,07;103,03;299,21
1,925;1,030;0,942;4,517;214,22;103,03;298,90
1,930;1,030;0,947;4,512;214,07;103,03;299,21
1,935;1,025;0,947;4,512;214,07;102,54;299,21
1,940;1,035;0,942;4,512;214,07;103,52;298,90
1,945;1,030;0,952;4,517;214,22;103,03;299,53
1,950;1,030;0,937;4,512;214,07;103,03;298,58
1,955;1,030;0,957;4,512;214,07;103,03;299,85
1,960;1,030;0,947;4,517;214,22;103,03;299,21
1,965;1,030;0,947;4,517;214,22;103,03;299,21
1,970;1,030;0,947;4,517;214,22;103,03;299,21
1,975;1,030;0,947;4,512;214,07;103,03;299,21
1,980;1,030;0,947;4,517;214,22;103,03;299,21
1,985;1,030;0,947;4,517;214,22;103,03;299,21
1,990;1,030;0,947;4,536;214,83;103,03;299,21
1,995;1,030;0,947;4,512;214,07;103,03;299,21
2,000;1,030;0,947;4,512;214,07;103,03;299,21
2,005;1,025;0,942;4,512;214,07;102,54;298,90
2,010;1,030;0,942;4,512;214,07;103,03;298,90
2,015;1,030;0,942;4,512;214,07;103,03;298,90
2,020;1,030;0,942;4,512;214,07;103,03;298,90
2,025;1,030;0,947;4,517;214,22;103,03;299,21
2,030;1,030;0,942;4,517;214,22;103,03;298,90
2,035;1,030;0,947;4,517;214,22;103,03;299,21
2,040;1,035;0,947;4,512;214,07;103,52;299,21
2,045;1,030;0,942;4,512;214,07;103,03;298,90
2,050;1,030;0,942;4,517;214,22;103,03;298,90
2,055;1,030;0,947;4,512;214,07;103,03;299,21
2,060;1,030;0,937;4,517;214,22;103,03;298,58
2,065;1,030;0,947;4,517;214,22;103,03;299,21
2,070;1,030;0,947;4,512;214,07;103,03;299,21
2,075;1,025;0,947;4,517;214,22;102,54;299,21
2,080;1,030;0,942;4,512;214,07;103,03;298,90
2,085;1,030;0,942;4,512;214,07;103,03;298,90
2,090;1,030;0,947;4,517;214,22;103,03;299,21
2,095;1,030;0,947;4,512;214,07;103,03;299,21
2,100;1,030;0,942;4,512;214,07;103,03;298,90
2,105;1,030;0,947;4,512;214,07;103,03;299,21
2,110;1,025;0,942;4,512;214,07;102,54;298,90
2,115;1,030;0,942;4,517;214,22;103,03;298,90
2,120;1,030;0,947;4,512;214,07;103,03;299,21
2,125;1,030;0,947;4,512;214,07;103,03;299,21
2,130;1,030;0,947;4,512;214,07;103,03;299,21
2,135;1,030;0,942;4,517;214,22;103,03;298,90
2,140;1,030;0,947;4,517;214,22;103,03;299,21
2,145;1,025;0,942;4,517;214,22;102,54;298,90
2,150;1,030;0,947;4,512;214,07;103,03;299,21
2,155;1,030;0,942;4,517;214,22;103,03;298,90
2,160;1,030;0,947;4,531;214,68;103,03;299,21
2,165;1,030;0,947;4,512;214,07;103,03;299,21
2,170;1,030;0,947;4,517;214,22;103,03;299,21
2,175;1,030;0,942;4,517;214,22;103,03;298,90
2,180;1,030;0,947;4,517;214,22;103,03;299,21
2,185;1,030;0,947;4,512;214,07;103,03;299,21
2,190;1,025;0,942;4,517;214,22;102,54;298,90
2,195;1,030;0,942;4,512;214,07;103,03;298,90
2,200;1,030;0,957;4,517;214,22;103,03;299,85
2,205;1,030;0,942;4,517;214,22;103,03;298,90
2,210;1,030;0,947;4,512;214,07;103,03;299,21
2,215;1,030;0,942;4,512;214,07;103,03;298,90
2,220;1,030;0,947;4,512;214,07;103,03;299,21
2,225;1,030;0,942;4,517;214,22;103,03;298,90
2,230;1,030;0,947;4,512;214,07;103,03;299,21
2,235;1,030;0,947;4,517;214,22;103,03;299,21
2,240;1,030;0,942;4,512;214,07;103,03;298,90
2,245;1,030;0,947;4,517;214,22;103,03;299,21
2,250;1,025;0,942;4,517;214,22;102,54;298,90
2,255;1,030;0,947;4,512;214,07;103,03;299,21
2,260;1,025;0,947;4,517;214,22;102,54;299,21
2,265;1,030;0,947;4,512;214,07;103,03;299,21
2,270;1,030;0,947;4,517;214,22;103,03;299,21
2,275;1,030;0,942;4,517;214,22;103,03;298,90
2,280;1,030;0,947;4,512;214,07;103,03;299,21
2,285;1,030;0,947;4,517;214,22;103,03;299,21
2,290;1,030;0,942;4,512;214,07;103,03;298,90
2,295;1,025;0,942;4,517;214,22;102,54;298,90
2,300;1,030;0,942;4,517;214,22;103,03;298,90
2,305;1,030;0,947;4,517;214,22;103,03;299,21
2,310;1,030;0,942;4,512;214,07;103,03;298,90
2,315;1,030;0,947;4,517;214,22;103,03;299,21
2,320;1,025;0,947;4,512;214,07;102,54;299,21
2,325;1,030;0,942;4,512;214,07;103,03;298,90
2,330;1,030;0,947;4,517;214,22;103,03;299,21
2,335;1,030;0,942;4,512;214,07;103,03;298,90
2,340;1,030;0,933;4,517;214,22;103,03;298,26
2,345;1,030;0,942;4,517;214,22;103,03;298,90
2,350;1,030;0,947;4,512;214,07;103,03;299,21
