Tiempo (s) Serie Nº 1;Voltaje, Ch A (V) Serie Nº 1;Voltaje, Ch B (V) Serie Nº 1;Voltaje, Ch C (V) Serie Nº 1;Volum (cm³) Serie Nº 1;Pressió (kPa) Serie Nº 1;Temperatura (K) Serie Nº 1
1,955;1,021;0,942;4,434;211,63;102,05;298,90
1,960;1,025;0,947;4,434;211,63;102,54;299,21
1,965;1,025;0,947;4,429;211,48;102,54;299,21
1,970;1,025;0,947;4,434;211,63;102,54;299,21
1,975;1,021;0,942;4,438;211,78;102,05;298,90
1,980;1,021;0,947;4,434;211,63;102,05;299,21
1,985;1,025;0,947;4,429;211,48;102,54;299,21
1,990;1,021;0,947;4,434;211,63;102,05;299,21
1,995;1,025;0,942;4,429;211,48;102,54;298,90
2,000;1,025;0,947;4,429;211,48;102,54;299,21
2,005;1,025;0,947;4,434;211,63;102,54;299,21
2,010;1,025;0,942;4,429;211,48;102,54;298,90
2,015;1,021;0,942;4,434;211,63;102,05;298,90
2,020;1,025;0,947;4,429;211,48;102,54;299,21
2,025;1,021;0,942;4,429;211,48;102,05;298,90
2,030;1,021;0,947;4,434;211,63;102,05;299,21
2,035;1,016;0,942;4,429;211,48;101,56;298,90
2,040;1,021;0,947;4,434;211,63;102,05;299,21
2,045;1,025;0,947;4,434;211,63;102,54;299,21
2,050;1,025;0,947;4,429;211,48;102,54;299,21
2,055;1,021;0,947;4,434;211,63;102,05;299,21
2,060;1,016;0,947;4,429;211,48;101,56;299,21
2,065;1,025;0,947;4,434;211,63;102,54;299,21
2,070;1,021;0,942;4,434;211,63;102,05;298,90
2,075;1,025;0,947;4,429;211,48;102,54;299,21
2,080;1,021;0,947;4,429;211,48;102,05;299,21
2,085;1,025;0,947;4,434;211,63;102,54;299,21
2,090;1,025;0,942;4,434;211,63;102,54;298,90
2,095;1,021;0,947;4,434;211,63;102,05;299,21
2,100;1,021;0,933;4,429;211,48;102,05;298,26
2,105;1,021;0,947;4,429;211,48;102,05;299,21
2,110;1,025;0,947;4,429;211,48;102,54;299,21
2,115;1,025;0,947;4,429;211,48;102,54;299,21
2,120;1,021;0,942;4,424;211,32;102,05;298,90
2,125;1,025;0,942;4,429;211,48;102,54;298,90
2,130;1,025;0,947;4,434;211,63;102,54;299,21
2,135;1,025;0,942;4,429;211,48;102,54;298,90
2,140;1,025;0,947;4,429;211,48;102,54;299,21
2,145;1,025;0,947;4,414;211,02;102,54;299,21
2,150;1,025;0,947;4,419;211,17;102,54;299,21
2,155;1,025;0,947;4,414;211,02;102,54;299,21
2,160;1,025;0,947;4,424;211,32;102,54;299,21
2,165;1,025;0,947;4,429;211,48;102,54;299,21
2,170;1,025;0,947;4,424;211,32;102,54;299,21
2,175;1,025;0,947;4,419;211,17;102,54;299,21
2,180;1,025;0,947;4,414;211,02;102,54;299,21
2,185;1,025;0,947;4,414;211,02;102,54;299,21
2,190;1,025;0,947;4,414;211,02;102,54;299,21
2,195;1,025;0,947;4,414;211,02;102,54;299,21
2,200;1,021;0,947;4,414;211,02;102,05;299,21
2,205;1,025;0,947;4,414;211,02;102,54;299,21
2,210;1,025;0,947;4,414;211,02;102,54;299,21
2,215;1,025;0,947;4,414;211,02;102,54;299,21
2,220;1,025;0,947;4,404;210,71;102,54;299,21
2,225;1,025;0,947;4,409;210,87;102,54;299,21
2,230;1,025;0,947;4,404;210,71;102,54;299,21
2,235;1,030;0,947;4,404;210,71;103,03;299,21
2,240;1,021;0,947;4,404;210,71;102,05;299,21
2,245;1,035;0,947;4,404;210,71;103,52;299,21
2,250;1,025;0,947;4,404;210,71;102,54;299,21
2,255;1,030;0,952;4,404;210,71;103,03;299,53
2,260;1,030;0,952;4,404;210,71;103,03;299,53
2,265;1,030;0,947;4,404;210,71;103,03;299,21
2,270;1,030;0,947;4,404;210,71;103,03;299,21
2,275;1,021;0,952;4,404;210,71;102,05;299,53
2,280;1,025;0,947;4,404;210,71;102,54;299,21
2,285;1,030;0,947;4,399;210,56;103,03;299,21
2,290;1,025;0,947;4,404;210,71;102,54;299,21
2,295;1,030;0,947;4,399;210,56;103,03;299,21
2,300;1,030;0,952;4,399;210,56;103,03;299,53
2,305;1,025;0,952;4,404;210,71;102,54;299,53
2,310;1,025;0,947;4,399;210,56;102,54;299,21
2,315;1,030;0,947;4,404;210,71;103,03;299,21
2,320;1,025;0,947;4,399;210,56;102,54;299,21
2,325;1,030;0,947;4,399;210,56;103,03;299,21
2,330;1,025;0,947;4,399;210,56;102,54;299,21
2,335;1,030;0,947;4,399;210,56;103,03;299,21
2,340;1,025;0,947;4,399;210,56;102,54;299,21
2,345;1,025;0,947;4,399;210,56;102,54;299,21
2,350;1,030;0,947;4,395;210,41;103,03;299,21
